timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], temperature.gpu, power.draw [W]
2026/05/11 20:15:04.541, 14085 MiB, 16303 MiB, 99 %, 62, 151.49 W
2026/05/11 20:15:09.544, 14085 MiB, 16303 MiB, 99 %, 66, 155.85 W
2026/05/11 20:15:14.544, 14085 MiB, 16303 MiB, 99 %, 68, 144.94 W
2026/05/11 20:15:19.545, 14085 MiB, 16303 MiB, 99 %, 69, 157.79 W
2026/05/11 20:15:24.545, 14085 MiB, 16303 MiB, 99 %, 71, 159.56 W
2026/05/11 20:15:29.546, 14085 MiB, 16303 MiB, 99 %, 72, 160.30 W
2026/05/11 20:15:34.546, 14085 MiB, 16303 MiB, 99 %, 74, 158.37 W
2026/05/11 20:15:39.547, 14085 MiB, 16303 MiB, 99 %, 75, 153.88 W
2026/05/11 20:15:44.547, 14085 MiB, 16303 MiB, 99 %, 76, 159.26 W
2026/05/11 20:15:49.548, 14085 MiB, 16303 MiB, 99 %, 77, 157.14 W
2026/05/11 20:15:54.548, 14085 MiB, 16303 MiB, 99 %, 78, 160.05 W
2026/05/11 20:15:59.549, 14085 MiB, 16303 MiB, 99 %, 79, 159.12 W
2026/05/11 20:16:04.549, 14085 MiB, 16303 MiB, 97 %, 79, 161.98 W
2026/05/11 20:16:09.550, 14085 MiB, 16303 MiB, 99 %, 80, 158.26 W
2026/05/11 20:16:14.550, 14085 MiB, 16303 MiB, 99 %, 80, 157.82 W
2026/05/11 20:16:19.551, 14085 MiB, 16303 MiB, 99 %, 80, 153.26 W
2026/05/11 20:16:24.551, 14085 MiB, 16303 MiB, 99 %, 81, 159.02 W
2026/05/11 20:16:29.552, 14085 MiB, 16303 MiB, 99 %, 82, 159.01 W
2026/05/11 20:16:34.552, 14085 MiB, 16303 MiB, 99 %, 81, 156.37 W
2026/05/11 20:16:39.553, 14085 MiB, 16303 MiB, 99 %, 81, 159.96 W
2026/05/11 20:16:44.553, 14085 MiB, 16303 MiB, 97 %, 81, 124.62 W
2026/05/11 20:16:49.554, 14087 MiB, 16303 MiB, 32 %, 78, 76.55 W
2026/05/11 20:16:54.554, 14087 MiB, 16303 MiB, 91 %, 76, 73.29 W
2026/05/11 20:16:59.555, 14087 MiB, 16303 MiB, 99 %, 79, 146.34 W
2026/05/11 20:17:04.555, 14087 MiB, 16303 MiB, 99 %, 80, 159.93 W
2026/05/11 20:17:09.556, 14087 MiB, 16303 MiB, 99 %, 81, 159.43 W
