2026/05/12 00:15:09.002, 14085 MiB, 16303 MiB, 99 %, 80, 159.00 W
2026/05/12 00:15:14.003, 14085 MiB, 16303 MiB, 99 %, 80, 159.25 W
2026/05/12 00:15:19.003, 14085 MiB, 16303 MiB, 99 %, 81, 158.81 W
2026/05/12 00:15:24.004, 14087 MiB, 16303 MiB, 0 %, 74, 26.22 W
2026/05/12 00:15:29.004, 14087 MiB, 16303 MiB, 93 %, 76, 76.70 W
2026/05/12 00:15:34.005, 14087 MiB, 16303 MiB, 99 %, 79, 151.84 W
2026/05/12 00:15:39.005, 14087 MiB, 16303 MiB, 99 %, 80, 160.15 W
2026/05/12 00:15:44.006, 14087 MiB, 16303 MiB, 99 %, 80, 159.04 W
2026/05/12 00:15:49.006, 14087 MiB, 16303 MiB, 99 %, 80, 158.96 W
2026/05/12 00:15:54.007, 14087 MiB, 16303 MiB, 98 %, 80, 158.97 W
2026/05/12 00:15:59.007, 14087 MiB, 16303 MiB, 99 %, 80, 157.41 W
2026/05/12 00:16:04.008, 14087 MiB, 16303 MiB, 99 %, 81, 158.51 W
2026/05/12 00:16:09.008, 14087 MiB, 16303 MiB, 99 %, 81, 159.14 W
2026/05/12 00:16:14.008, 14087 MiB, 16303 MiB, 99 %, 81, 159.08 W
2026/05/12 00:16:19.009, 14087 MiB, 16303 MiB, 99 %, 81, 158.62 W
2026/05/12 00:16:24.009, 14087 MiB, 16303 MiB, 99 %, 81, 157.47 W
2026/05/12 00:16:29.010, 14087 MiB, 16303 MiB, 99 %, 82, 158.90 W
2026/05/12 00:16:34.010, 14087 MiB, 16303 MiB, 97 %, 81, 159.50 W
2026/05/12 00:16:39.011, 14087 MiB, 16303 MiB, 99 %, 82, 159.43 W
2026/05/12 00:16:44.011, 14087 MiB, 16303 MiB, 99 %, 82, 157.66 W
2026/05/12 00:16:49.012, 14087 MiB, 16303 MiB, 99 %, 82, 159.40 W
2026/05/12 00:16:54.012, 14087 MiB, 16303 MiB, 99 %, 82, 159.00 W
2026/05/12 00:16:59.013, 14087 MiB, 16303 MiB, 99 %, 82, 158.93 W
2026/05/12 00:17:04.013, 14087 MiB, 16303 MiB, 99 %, 82, 158.80 W
2026/05/12 00:17:09.014, 14087 MiB, 16303 MiB, 0 %, 79, 78.43 W
2026/05/12 00:17:14.014, 14087 MiB, 16303 MiB, 93 %, 77, 77.23 W
2026/05/12 00:17:19.015, 14087 MiB, 16303 MiB, 99 %, 81, 159.23 W
2026/05/12 00:17:24.015, 14087 MiB, 16303 MiB, 99 %, 81, 159.04 W
2026/05/12 00:17:29.016, 14087 MiB, 16303 MiB, 99 %, 81, 158.90 W
2026/05/12 00:17:34.016, 14087 MiB, 16303 MiB, 99 %, 81, 158.98 W
2026/05/12 00:17:39.017, 14087 MiB, 16303 MiB, 99 %, 82, 159.23 W
2026/05/12 00:17:44.017, 14087 MiB, 16303 MiB, 99 %, 82, 157.80 W
2026/05/12 00:17:49.017, 14087 MiB, 16303 MiB, 98 %, 82, 159.21 W
2026/05/12 00:17:54.018, 14087 MiB, 16303 MiB, 99 %, 82, 157.74 W
2026/05/12 00:17:59.018, 14087 MiB, 16303 MiB, 99 %, 82, 158.68 W
2026/05/12 00:18:04.019, 14087 MiB, 16303 MiB, 99 %, 82, 158.96 W
2026/05/12 00:18:09.019, 14087 MiB, 16303 MiB, 99 %, 83, 158.63 W
2026/05/12 00:18:14.019, 14087 MiB, 16303 MiB, 99 %, 83, 158.87 W
2026/05/12 00:18:19.020, 14087 MiB, 16303 MiB, 99 %, 82, 159.52 W
2026/05/12 00:18:24.020, 14087 MiB, 16303 MiB, 99 %, 83, 159.85 W
2026/05/12 00:18:29.021, 14087 MiB, 16303 MiB, 99 %, 83, 157.90 W
2026/05/12 00:18:34.021, 14087 MiB, 16303 MiB, 99 %, 83, 158.32 W
2026/05/12 00:18:39.022, 14087 MiB, 16303 MiB, 99 %, 84, 157.58 W
2026/05/12 00:18:44.022, 14087 MiB, 16303 MiB, 97 %, 83, 159.06 W
2026/05/12 00:18:49.023, 14087 MiB, 16303 MiB, 99 %, 83, 159.27 W
2026/05/12 00:18:54.023, 14087 MiB, 16303 MiB, 93 %, 80, 78.61 W
2026/05/12 00:18:59.024, 14087 MiB, 16303 MiB, 93 %, 78, 77.69 W
2026/05/12 00:19:04.024, 14087 MiB, 16303 MiB, 99 %, 81, 162.87 W
2026/05/12 00:19:09.025, 14087 MiB, 16303 MiB, 99 %, 82, 158.58 W
2026/05/12 00:19:14.034, 14087 MiB, 16303 MiB, 99 %, 82, 152.19 W
