timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], temperature.gpu, power.draw [W]
2026/05/11 19:37:30.020, 14085 MiB, 16303 MiB, 99 %, 71, 157.54 W
2026/05/11 19:37:35.021, 14085 MiB, 16303 MiB, 96 %, 72, 158.06 W
2026/05/11 19:37:40.021, 14085 MiB, 16303 MiB, 93 %, 68, 70.72 W
2026/05/11 19:37:45.022, 14085 MiB, 16303 MiB, 99 %, 72, 160.49 W
2026/05/11 19:37:50.022, 14085 MiB, 16303 MiB, 99 %, 69, 156.84 W
2026/05/11 19:37:55.023, 14085 MiB, 16303 MiB, 91 %, 69, 73.91 W
2026/05/11 19:38:00.023, 14085 MiB, 16303 MiB, 98 %, 73, 181.51 W
2026/05/11 19:38:05.024, 14085 MiB, 16303 MiB, 93 %, 70, 75.51 W
2026/05/11 19:38:10.024, 14085 MiB, 16303 MiB, 93 %, 69, 69.78 W
2026/05/11 19:38:15.025, 14085 MiB, 16303 MiB, 99 %, 74, 150.11 W
2026/05/11 19:38:20.025, 14085 MiB, 16303 MiB, 91 %, 71, 74.66 W
2026/05/11 19:38:25.026, 14085 MiB, 16303 MiB, 99 %, 74, 158.98 W
2026/05/11 19:38:30.026, 14085 MiB, 16303 MiB, 99 %, 74, 159.71 W
2026/05/11 19:38:35.027, 14085 MiB, 16303 MiB, 93 %, 71, 73.71 W
2026/05/11 19:38:40.027, 14085 MiB, 16303 MiB, 96 %, 74, 150.01 W
2026/05/11 19:38:45.028, 14085 MiB, 16303 MiB, 99 %, 75, 158.94 W
2026/05/11 19:38:50.028, 14085 MiB, 16303 MiB, 91 %, 72, 75.36 W
2026/05/11 19:38:55.029, 14085 MiB, 16303 MiB, 99 %, 74, 150.26 W
2026/05/11 19:39:00.030, 14085 MiB, 16303 MiB, 0 %, 72, 71.08 W
2026/05/11 19:39:05.030, 14085 MiB, 16303 MiB, 91 %, 71, 70.33 W
2026/05/11 19:39:10.031, 143 MiB, 16303 MiB, 6 %, 66, 32.42 W
2026/05/11 19:39:15.031, 143 MiB, 16303 MiB, 9 %, 62, 10.87 W
2026/05/11 19:39:20.032, 143 MiB, 16303 MiB, 9 %, 61, 25.27 W
2026/05/11 19:39:25.032, 143 MiB, 16303 MiB, 78 %, 60, 29.45 W
2026/05/11 19:39:30.033, 143 MiB, 16303 MiB, 5 %, 58, 10.65 W
2026/05/11 19:39:35.033, 143 MiB, 16303 MiB, 0 %, 57, 10.32 W
2026/05/11 19:39:40.034, 143 MiB, 16303 MiB, 0 %, 56, 9.98 W
2026/05/11 19:39:45.035, 143 MiB, 16303 MiB, 0 %, 55, 7.61 W
2026/05/11 19:39:50.036, 143 MiB, 16303 MiB, 0 %, 54, 7.45 W
2026/05/11 19:39:55.036, 143 MiB, 16303 MiB, 0 %, 53, 7.22 W
2026/05/11 19:40:00.037, 143 MiB, 16303 MiB, 0 %, 52, 7.17 W
2026/05/11 19:40:05.038, 143 MiB, 16303 MiB, 19 %, 51, 9.79 W
2026/05/11 19:40:10.039, 143 MiB, 16303 MiB, 0 %, 51, 9.57 W
2026/05/11 19:40:15.039, 143 MiB, 16303 MiB, 10 %, 50, 9.75 W
2026/05/11 19:40:20.040, 143 MiB, 16303 MiB, 0 %, 50, 9.12 W
2026/05/11 19:40:25.040, 143 MiB, 16303 MiB, 5 %, 51, 23.36 W
2026/05/11 19:40:30.041, 143 MiB, 16303 MiB, 0 %, 49, 8.99 W
2026/05/11 19:40:35.042, 143 MiB, 16303 MiB, 0 %, 49, 8.86 W
2026/05/11 19:40:40.042, 143 MiB, 16303 MiB, 9 %, 49, 9.15 W
2026/05/11 19:40:45.043, 143 MiB, 16303 MiB, 0 %, 48, 9.19 W
2026/05/11 19:40:50.043, 143 MiB, 16303 MiB, 1 %, 48, 9.40 W
2026/05/11 19:40:55.044, 143 MiB, 16303 MiB, 80 %, 49, 30.83 W
2026/05/11 19:41:00.045, 143 MiB, 16303 MiB, 11 %, 49, 24.15 W
2026/05/11 19:41:05.045, 143 MiB, 16303 MiB, 26 %, 48, 10.55 W
2026/05/11 19:41:10.046, 143 MiB, 16303 MiB, 31 %, 49, 28.08 W
2026/05/11 19:41:15.046, 143 MiB, 16303 MiB, 0 %, 48, 19.61 W
2026/05/11 19:41:20.047, 143 MiB, 16303 MiB, 0 %, 48, 22.68 W
2026/05/11 19:41:25.047, 143 MiB, 16303 MiB, 9 %, 48, 8.91 W
2026/05/11 19:41:30.048, 143 MiB, 16303 MiB, 0 %, 47, 8.82 W
2026/05/11 19:41:35.049, 143 MiB, 16303 MiB, 0 %, 47, 6.53 W
2026/05/11 19:41:40.050, 143 MiB, 16303 MiB, 0 %, 47, 8.79 W
2026/05/11 19:41:45.050, 143 MiB, 16303 MiB, 9 %, 46, 8.65 W
2026/05/11 19:41:50.051, 143 MiB, 16303 MiB, 0 %, 46, 8.54 W
2026/05/11 19:41:55.052, 143 MiB, 16303 MiB, 0 %, 46, 10.09 W
2026/05/11 19:42:00.052, 143 MiB, 16303 MiB, 0 %, 46, 6.91 W
2026/05/11 19:42:05.052, 143 MiB, 16303 MiB, 0 %, 47, 6.68 W
2026/05/11 19:42:10.053, 143 MiB, 16303 MiB, 0 %, 47, 6.56 W
2026/05/11 19:42:15.062, 143 MiB, 16303 MiB, 0 %, 47, 6.60 W
2026/05/11 19:42:20.063, 143 MiB, 16303 MiB, 76 %, 48, 31.91 W
2026/05/11 19:42:25.064, 143 MiB, 16303 MiB, 44 %, 48, 22.76 W
2026/05/11 19:42:30.065, 143 MiB, 16303 MiB, 0 %, 47, 6.65 W
2026/05/11 19:42:35.065, 143 MiB, 16303 MiB, 0 %, 46, 6.46 W
2026/05/11 19:42:40.066, 143 MiB, 16303 MiB, 0 %, 46, 6.45 W
2026/05/11 19:42:45.067, 143 MiB, 16303 MiB, 0 %, 46, 6.47 W
2026/05/11 19:42:50.067, 143 MiB, 16303 MiB, 0 %, 45, 6.44 W
2026/05/11 19:42:55.068, 143 MiB, 16303 MiB, 0 %, 45, 6.34 W
2026/05/11 19:43:00.069, 143 MiB, 16303 MiB, 0 %, 45, 6.35 W
2026/05/11 19:43:05.070, 143 MiB, 16303 MiB, 0 %, 44, 6.33 W
2026/05/11 19:43:10.070, 143 MiB, 16303 MiB, 0 %, 44, 6.28 W
2026/05/11 19:43:15.071, 143 MiB, 16303 MiB, 0 %, 44, 6.26 W
2026/05/11 19:43:20.081, 143 MiB, 16303 MiB, 0 %, 44, 6.25 W
2026/05/11 19:43:25.082, 143 MiB, 16303 MiB, 0 %, 44, 6.28 W
2026/05/11 19:43:30.082, 143 MiB, 16303 MiB, 0 %, 43, 6.20 W
2026/05/11 19:43:35.093, 143 MiB, 16303 MiB, 0 %, 43, 6.19 W
2026/05/11 19:43:40.094, 143 MiB, 16303 MiB, 0 %, 43, 6.24 W
2026/05/11 19:43:45.095, 143 MiB, 16303 MiB, 0 %, 43, 6.16 W
2026/05/11 19:43:50.096, 143 MiB, 16303 MiB, 0 %, 42, 6.14 W
2026/05/11 19:43:55.097, 143 MiB, 16303 MiB, 0 %, 42, 6.14 W
2026/05/11 19:44:00.098, 143 MiB, 16303 MiB, 0 %, 42, 6.14 W
2026/05/11 19:44:05.100, 143 MiB, 16303 MiB, 0 %, 42, 6.13 W
2026/05/11 19:44:10.100, 143 MiB, 16303 MiB, 0 %, 42, 6.12 W
2026/05/11 19:44:15.101, 143 MiB, 16303 MiB, 83 %, 43, 25.43 W
