2026/05/11 21:56:33.147, 14087 MiB, 16303 MiB, 99 %, 83, 159.46 W
2026/05/11 21:56:38.147, 14087 MiB, 16303 MiB, 99 %, 83, 158.85 W
2026/05/11 21:56:43.148, 14087 MiB, 16303 MiB, 99 %, 83, 158.52 W
2026/05/11 21:56:48.148, 14087 MiB, 16303 MiB, 97 %, 84, 157.85 W
2026/05/11 21:56:53.149, 14087 MiB, 16303 MiB, 99 %, 84, 159.19 W
2026/05/11 21:56:58.150, 14087 MiB, 16303 MiB, 99 %, 84, 157.60 W
2026/05/11 21:57:03.150, 14087 MiB, 16303 MiB, 99 %, 84, 163.63 W
2026/05/11 21:57:08.151, 14087 MiB, 16303 MiB, 99 %, 84, 159.65 W
2026/05/11 21:57:13.151, 14087 MiB, 16303 MiB, 99 %, 84, 159.27 W
2026/05/11 21:57:18.161, 14087 MiB, 16303 MiB, 93 %, 80, 78.86 W
2026/05/11 21:57:23.161, 14087 MiB, 16303 MiB, 99 %, 82, 155.23 W
2026/05/11 21:57:28.162, 14087 MiB, 16303 MiB, 99 %, 82, 155.50 W
2026/05/11 21:57:33.162, 14087 MiB, 16303 MiB, 98 %, 83, 155.17 W
2026/05/11 21:57:38.163, 14087 MiB, 16303 MiB, 99 %, 83, 158.29 W
2026/05/11 21:57:43.163, 14087 MiB, 16303 MiB, 99 %, 83, 160.26 W
2026/05/11 21:57:48.164, 14087 MiB, 16303 MiB, 99 %, 83, 158.70 W
2026/05/11 21:57:53.164, 14087 MiB, 16303 MiB, 99 %, 84, 184.43 W
2026/05/11 21:57:58.165, 14087 MiB, 16303 MiB, 99 %, 84, 158.86 W
2026/05/11 21:58:03.165, 14087 MiB, 16303 MiB, 99 %, 84, 158.80 W
2026/05/11 21:58:08.166, 14087 MiB, 16303 MiB, 99 %, 84, 158.95 W
2026/05/11 21:58:13.167, 14087 MiB, 16303 MiB, 99 %, 84, 159.01 W
2026/05/11 21:58:18.167, 14087 MiB, 16303 MiB, 99 %, 84, 158.90 W
2026/05/11 21:58:23.168, 14087 MiB, 16303 MiB, 99 %, 84, 158.69 W
2026/05/11 21:58:28.168, 14087 MiB, 16303 MiB, 99 %, 84, 158.64 W
2026/05/11 21:58:33.169, 14087 MiB, 16303 MiB, 99 %, 85, 158.64 W
2026/05/11 21:58:38.178, 14087 MiB, 16303 MiB, 99 %, 84, 155.38 W
2026/05/11 21:58:43.179, 14087 MiB, 16303 MiB, 98 %, 85, 158.26 W
2026/05/11 21:58:48.179, 14087 MiB, 16303 MiB, 99 %, 85, 158.95 W
2026/05/11 21:58:53.180, 14087 MiB, 16303 MiB, 99 %, 85, 158.37 W
2026/05/11 21:58:58.180, 14087 MiB, 16303 MiB, 90 %, 80, 157.54 W
2026/05/11 21:59:03.181, 14087 MiB, 16303 MiB, 93 %, 80, 79.26 W
2026/05/11 21:59:08.181, 14087 MiB, 16303 MiB, 99 %, 82, 158.70 W
2026/05/11 21:59:13.182, 14087 MiB, 16303 MiB, 99 %, 84, 158.87 W
2026/05/11 21:59:18.182, 14087 MiB, 16303 MiB, 99 %, 83, 158.97 W
2026/05/11 21:59:23.183, 14087 MiB, 16303 MiB, 99 %, 84, 158.82 W
2026/05/11 21:59:28.184, 14087 MiB, 16303 MiB, 98 %, 84, 158.28 W
2026/05/11 21:59:33.184, 14087 MiB, 16303 MiB, 99 %, 84, 158.58 W
2026/05/11 21:59:38.185, 14087 MiB, 16303 MiB, 99 %, 84, 159.61 W
2026/05/11 21:59:43.185, 14087 MiB, 16303 MiB, 99 %, 85, 158.73 W
2026/05/11 21:59:48.186, 14087 MiB, 16303 MiB, 99 %, 84, 160.09 W
2026/05/11 21:59:53.186, 14087 MiB, 16303 MiB, 99 %, 85, 159.28 W
2026/05/11 21:59:58.187, 14087 MiB, 16303 MiB, 99 %, 85, 158.88 W
2026/05/11 22:00:03.187, 14087 MiB, 16303 MiB, 99 %, 85, 159.41 W
2026/05/11 22:00:08.187, 14087 MiB, 16303 MiB, 99 %, 85, 158.85 W
2026/05/11 22:00:13.188, 14087 MiB, 16303 MiB, 99 %, 85, 158.79 W
2026/05/11 22:00:18.189, 14087 MiB, 16303 MiB, 99 %, 85, 159.02 W
2026/05/11 22:00:23.189, 14087 MiB, 16303 MiB, 99 %, 85, 159.02 W
2026/05/11 22:00:28.190, 14087 MiB, 16303 MiB, 99 %, 85, 158.73 W
2026/05/11 22:00:33.190, 14087 MiB, 16303 MiB, 99 %, 85, 158.72 W
2026/05/11 22:00:38.191, 14087 MiB, 16303 MiB, 99 %, 85, 157.77 W
2026/05/11 22:00:43.191, 14087 MiB, 16303 MiB, 0 %, 79, 27.72 W
2026/05/11 22:00:48.192, 14087 MiB, 16303 MiB, 93 %, 81, 79.43 W
2026/05/11 22:00:53.192, 14087 MiB, 16303 MiB, 99 %, 83, 153.07 W
2026/05/11 22:00:58.193, 14087 MiB, 16303 MiB, 99 %, 84, 159.75 W
2026/05/11 22:01:03.194, 14087 MiB, 16303 MiB, 99 %, 84, 158.93 W
2026/05/11 22:01:08.194, 14087 MiB, 16303 MiB, 99 %, 84, 159.62 W
2026/05/11 22:01:13.195, 14087 MiB, 16303 MiB, 99 %, 84, 158.80 W
2026/05/11 22:01:18.195, 14087 MiB, 16303 MiB, 99 %, 84, 158.28 W
2026/05/11 22:01:23.196, 14087 MiB, 16303 MiB, 98 %, 85, 158.30 W
2026/05/11 22:01:28.196, 14087 MiB, 16303 MiB, 99 %, 85, 159.81 W
2026/05/11 22:01:33.197, 14087 MiB, 16303 MiB, 99 %, 85, 158.83 W
2026/05/11 22:01:38.197, 14087 MiB, 16303 MiB, 98 %, 85, 155.77 W
2026/05/11 22:01:43.198, 14087 MiB, 16303 MiB, 99 %, 85, 159.21 W
2026/05/11 22:01:48.198, 14087 MiB, 16303 MiB, 99 %, 85, 159.13 W
2026/05/11 22:01:53.199, 14087 MiB, 16303 MiB, 99 %, 85, 158.68 W
2026/05/11 22:01:58.199, 14087 MiB, 16303 MiB, 99 %, 85, 159.07 W
2026/05/11 22:02:03.200, 14087 MiB, 16303 MiB, 99 %, 85, 159.30 W
2026/05/11 22:02:08.200, 14087 MiB, 16303 MiB, 99 %, 85, 158.85 W
2026/05/11 22:02:13.201, 14087 MiB, 16303 MiB, 99 %, 85, 159.11 W
2026/05/11 22:02:18.201, 14087 MiB, 16303 MiB, 99 %, 85, 158.87 W
2026/05/11 22:02:23.202, 14087 MiB, 16303 MiB, 99 %, 85, 160.42 W
2026/05/11 22:02:28.202, 14087 MiB, 16303 MiB, 93 %, 82, 69.96 W
2026/05/11 22:02:33.203, 14087 MiB, 16303 MiB, 93 %, 80, 79.25 W
2026/05/11 22:02:38.203, 14087 MiB, 16303 MiB, 98 %, 83, 155.99 W
2026/05/11 22:02:43.204, 14087 MiB, 16303 MiB, 99 %, 84, 159.84 W
2026/05/11 22:02:48.204, 14087 MiB, 16303 MiB, 99 %, 84, 158.17 W
2026/05/11 22:02:53.205, 14087 MiB, 16303 MiB, 99 %, 84, 158.77 W
2026/05/11 22:02:58.206, 14087 MiB, 16303 MiB, 99 %, 84, 159.91 W
2026/05/11 22:03:03.206, 14087 MiB, 16303 MiB, 99 %, 84, 158.93 W
2026/05/11 22:03:08.207, 14087 MiB, 16303 MiB, 99 %, 84, 158.86 W
2026/05/11 22:03:13.207, 14087 MiB, 16303 MiB, 99 %, 84, 158.76 W
2026/05/11 22:03:18.208, 14087 MiB, 16303 MiB, 99 %, 85, 158.97 W
2026/05/11 22:03:23.209, 14087 MiB, 16303 MiB, 99 %, 85, 158.77 W
2026/05/11 22:03:28.209, 14087 MiB, 16303 MiB, 99 %, 85, 158.46 W
2026/05/11 22:03:33.210, 14087 MiB, 16303 MiB, 97 %, 86, 156.37 W
2026/05/11 22:03:38.210, 14087 MiB, 16303 MiB, 99 %, 85, 157.58 W
2026/05/11 22:03:43.211, 14087 MiB, 16303 MiB, 99 %, 85, 158.98 W
2026/05/11 22:03:48.211, 14087 MiB, 16303 MiB, 98 %, 85, 157.89 W
2026/05/11 22:03:53.221, 14087 MiB, 16303 MiB, 99 %, 85, 158.73 W
2026/05/11 22:03:58.221, 14087 MiB, 16303 MiB, 99 %, 85, 159.08 W
2026/05/11 22:04:03.222, 14087 MiB, 16303 MiB, 99 %, 86, 158.57 W
